dish_id,dish_name,dish_type,servings,calories,protein,fat,carbs,description
1,鶏もも照り焼き,main,1,415,27.1,24.9,14.9,鶏もも肉を甘辛い照り焼き味にした主菜
2,キャベツ,side,1,23,1.3,0.2,5.2,照り焼きに添える生キャベツ
3,豆腐と油揚げの味噌汁,soup,1,61,3.7,3.1,4.5,豆腐と油揚げを入れた味噌汁1杯分
4,白米150g,staple,1,250,4,1,60,白米150g
5,鶏むねキャベツキムチ,main,1,283,36.8,4.8,18.9,鶏むね肉・キャベツ・キムチを炒めたピリ辛の主菜
6,ネギ玉豚丼,main,1,932,28.4,52.3,92.9,豚バラスライスと玉ねぎを焼肉のたれで炒め、ご飯にのせて卵黄とねぎを合わせた丼
7,ハムきゅうり卵のマヨ味噌サラダ,side,1,411,17.3,31.9,14.2,きゅうり・ハム・ゆで卵をマヨ味噌ディップで食べる副菜
8,ねぎ豆腐味噌汁,soup,3,91,6.8,3.7,7,ねぎと豆腐を入れた味噌汁
9,唐揚げ,main,1,732,27,35,67.6,醤油と生姜にんにくで下味をつけた鶏もも肉の唐揚げ
10,鶏むねネギ塩炒め,main,1,248,39.1,5.9,10.7,鶏むね肉と白ねぎを鶏ガラとごま油で炒めたヘルシーな主菜
11,豚こま生姜焼き,main,1,408,24,17,28.8,豚こまと玉ねぎを生姜入りの甘辛ダレで炒めた主菜
12,豚キムチ,main,1,420,22.5,24.3,22.8,豚肉・キャベツ・キムチを炒めた定番の主菜
13,ナス焼きポン酢,side,1,98,1.2,4.1,12.5,ごま油で焼いたナスにポン酢をかけた副菜
14,卵入り春雨スープ,soup,1,250,9,3,44.8,春雨と卵を入れた鶏ガラベースのスープ
15,卵チャーハン,main,1,465,13.4,13.2,68.5,卵と白米を炒めたシンプルなチャーハン
16,もやしナムル,side,1,78,2.2,4,7.2,もやしをごま油と鶏ガラで和えた副菜
17,親子丼,main,1,596,33.1,22.8,62.5,鶏もも肉と玉ねぎを甘辛く煮て卵でとじた丼
18,鶏むね甘酢炒め,main,1,445,37.6,8.1,48.7,鶏むね肉と玉ねぎを甘酢ダレで炒めたさっぱり系の主菜
19,鶏むねネギポン酢,main,1,361,39.1,6.2,23.9,鶏むね肉と長ネギをポン酢でさっぱり炒めた夏向きの主菜
20,豚キムチ焼うどん,main,1,833,29.6,29.5,107.4,豚肉とキムチをうどんと炒め合わせたピリ辛の主食系メイン料理
21,鶏むねふわ玉照り焼き,main,1,493,50.7,20,26.7,鶏むね肉を甘辛い照り焼き味にし卵3個でふわとろに仕上げた主菜
22,ボロネーゼ,main,2,640,26.5,24.5,73.5,合い挽き肉と玉ねぎをトマトソースで煮込みパスタにかけた定番パスタ
23,マカロニサラダ,side,3,274,8.5,13.2,28.8,マカロニときゅうりとハムと卵をマヨネーズで和えた定番サラダ
24,カルボナーラ,main,1,857,39.8,35.6,90.4,ベーコンと卵と粉チーズで作る濃厚なクリーム系パスタ
25,冷やし鶏ねぎうどん,main,1,498,27.8,14.5,57.2,鶏もも肉と長ネギをのせたさっぱりした冷やしうどん
26,サバ缶と玉ねぎの和風パスタ,main,1,665,30.2,18.4,89.6,サバ缶と玉ねぎを醤油とめんつゆで炒めてパスタと合わせた和風パスタ
27,天津飯,main,1,435,15.4,11.2,63.8,卵と長ネギを使ったあんかけご飯
28,キャベツのごま油塩,side,1,62,1.8,4.2,4.8,キャベツをごま油と鶏ガラで和えた副菜
29,ネギ中華スープ,soup,1,28,1.1,1.6,2.4,長ネギを入れたシンプルな中華スープ
30,回鍋肉,main,1,512,26.8,23.4,36.2,豚こまとキャベツとピーマンを豆板醤入りの甘辛味噌ダレで炒めた中華の主菜
31,釜玉うとん,main,1,372,15.1,6.8,59.7,温かいうどんに卵を絡めてめんつゆで食べるシンプルな主食
32,青椒肉絲風,main,1,487,27.4,21.8,35.2,豚こまとピーマンと玉ねぎを甘辛味で炒めたご飯に合う主菜
33,チキン南蛮風,main,1,548,33.8,28.6,29.4,鶏もも肉を甘酢ダレで焼きタルタルソースをかけたご飯に合う主菜
34,かきたまスープ,soup,1,68,4.2,4.1,2.1,卵をふんわり流し入れた中華風スープ
35,豚バラ丼,main,1,612,18.9,31.7,58.4,豚バラと玉ねぎを甘辛ダレで炒めてご飯にのせた丼
36,ジャーマンポテト,main,1,468,14.2,18.6,58.1,じゃがいもと玉ねぎとベーコンを炒めたドイツ風の主菜
37,豚バラねぎうどん,main,1,598,18.7,24.1,68.2,豚バラと長ネギをめんつゆで煮てうどんにのせた主食
38,鶏ももともやしの塩だれ炒め,main,1,315,28.6,15.4,9.8,鶏ももともやしを塩だれで炒めた主菜
39,ベーコンポテトスープ,soup,1,168,5.8,7.2,18.4,じゃがいもとベーコンをコンソメで煮込んだスープ
